id,label_kmeans_10
muiDoG4ATOG_C_vILNq0YQ,0
ku9gAvdmQaKsK-aK6AAwZA,0
21JDU0L_Tm-ckfYo5umyJQ,8
cccHlovIR5aOC3QHBfe6XA,0
KKfrCv8sS-S2RCSClt-mWw,2
bc-RPCMzTSuzQggx8SUGtQ,0
MCn50kvvRyCJrDJOZSaNyQ,0
a0AxQN2gS3iEaW5nridXBQ,0
d6lkcpKFRoy2zD7aSVTc7w,4
gsO2iNUuTxirobaklzeCeA,0
8TVlUgjbTy6eYO0dEGsbpQ,4
ts2nTVsQQsijaMcMPYHdxQ,2
byseqmXYQzKeWEpWbtoPww,0
_eDxgsBDTEqnO4QmoeOUyg,2
3OtCuO80Qw2Rv7ZR9i_rUA,0
uaG6WZwRQcymfqetFk-WUQ,0
iAWk5FGPQm-RTS4AkeHHfA,2
6Kt8gJvUSSa9cheJkZ6Nhg,0
ESfTE6M_QzCwihf1hspCog,2
pwdVs-BgSdOPHruccyl53g,0
TXdWnL0vS0ufoLKGYYGh-Q,0
NDS-KbDkRnWXvW6xbbTcjQ,0
C4fOdf89TK2LZsKcnTmvDw,4
cI8fC2omS3iMvmEi5ofM0Q,8
OuYLnAkzSTGAQas02QaqcQ,3
XnoLgPAETN209pNd8B-eqw,2
PBdhOXn7QN2TXYiGJYuAcA,0
GeVdUQQ8Rpen3hr0TGRK0A,2
xxKx8pr7SWOKfbg0GQOj4A,0
9yQaQ6AhRoSMbqhAxAm78Q,2
bqJnFz_CSCaE1R5waw7ZxQ,0
YyJyiC8YQ2OwMt8NxFhA9g,8
YdC8H5XoRP6fHnWcHA13Pw,4
ZIWMe8auTYqQPQHed8bcug,4
quYUWdbrQiyKJMNScfwjhA,0
0BTbK_hMQXSrVTYW7p7fvg,3
oUSwrm1jQgytdqH6HO5Dbw,3
Ys1uagieSzKZsrvuEHinUQ,0
tZasSt-4TL6Ug7BR1gtl2A,2
FUf4zqCqQEWGET99-EnMrw,1
-RxflJQlTBqGDo0705gW7g,0
xeuBTx39QX-6XSqOy14W1g,8
JX_iD-u6QOeFcuTc4KgD5w,2
7otn_YrTR2GLxyRXixmtLQ,2
v5_pnJBcREmPwaVJXgcAsw,0
FB6AyNVbTSKbjUv9OWKjNQ,3
GxLXDua4TTCvF5gS9TydIQ,8
zYc9Y32GS6OFM95RU0fZgw,2
WRIgJoz8QGuIWz8U_--LEA,4
okuAvG9TSsuPptP1-dl_nA,2
pB_me83uTym2VGrDRjWuiQ,0
33PmPcGzRSOnVqFbWoSq3Q,8
CmcPzgeUTkKMQWzUq8Y5Tg,4
SKky8i6jSgOXl1JaSbSE7w,8
Gd2fqUcJRduatykL5cr0UA,4
igGz2M80R7mDnTtL7x4Y7g,4
c1LDkATqTDWFB_IQ3gEvsg,2
QvnvwiKyRoCqTF2XYIPmag,0
OIfpy2mnT-KKHTysbDXBdw,2
erkiS0qPQmygKbDA2eQJKw,2
W_WGaTG-QQKtGuYhc4KDdg,4
8Ir06mvbQ5iE6wFbUUxcHQ,0
SmHgP9SNS1iEZmdug00jTw,2
q6jvJ9MORxiQRwwJcQHF2w,2
j6jW3Sl0R-OoUzZNi4Q0qw,7
VmarYq_tR5qgITGTcwx-hw,4
Hn2_XsDVRS6moLGM06l1tQ,2
Pjyt9gRKQPSjihfSPhJQiA,7
ZJe3j0NtRGCPjwKigWtQ8A,2
2vHAM91ASuWFZfazwHntJw,3
Tq9o625NRxaLD0pnc3vVaA,5
RiXt1d6BSB2XUf3G6F2Xhw,8
usRihZC1QK6Sb5GjZZRVrg,0
GGsWIqF4S_e1sll7duw6nA,2
WM6Q_VsuSvWpg8uQPDkuJw,3
E-E1acGFQ2mHIyi5xJ3O6Q,0
dnOsBVULTXi0rFXSRneZLw,3
k8xMknWCTiCzjhCO_PMH9w,0
v2Rv3r6pTHGwRVlXp6WN3w,2
jMNzem8wSVeLOAhiFsiQgQ,2
IbJEtyaFRP6JaGCtGcyEFA,0
Bx90VcXdQ9yjz6A9YL-WZg,3
UuMxJ7hkRUqFdYEa6ki1KQ,8
PWaNX2a9TemOVclqeDxEtA,2
QsJuLvP5TnmfotROuKvxow,8
3CDcdo-YSOaYuh2ssRULyQ,0
WpgAKQnLTuu8grCTuUN35w,3
68LAPgKRQz6e4WBvaOoKsw,7
dMUps8mESh2bi8MX3ZZ-bw,2
opTzSRL6RUS3GCKm2WyIsA,0
xmfFTEx7QBGW_ZPHN91v0g,0
nHdF-CT5RV2Wk1WdmO_gGA,0
f5a6h_rqQr6iVu7cz6emvw,0
Yc9dcsLzTIWclSqsd1xuOw,0
QeJ80IKMSV6gu8uRlCH8Xw,0
YgiNqQEyRmuGRVEAylEhiQ,0
WEp4uHmjSy-Ausj2VHst1g,0
GUoCdzRpQPWJfYLIQrXrEA,2
3OHizixbRUmqVxIdc0P4TQ,0
zBu7fxbnRYijN4tXE8cL4Q,2
6dk3lbymSKmqs1c6rehPGQ,3
5NQbMRR4TYWGFTUZyKQEjg,2
b6mNX-KeRhGu81DzhTmAGA,3
Ugl8Vo8cQX2oXIiDF5hz6g,2
DHAM4kfOS6-fsRbP0pk9qw,0
NSL6itjhRviiVGwYww0_5w,0
ijWRkvgtQK23Fyy0EO4Bog,0
5FZQee75THiJsEQzFOHPJg,8
aNh3qv2-Suelmxw8Bi4Ilw,0
o1F7LFz2QhOqOdTIUYTz3A,2
seqk8KBySCepWIPaZMaD2Q,2
GgLpmw97Su6-uMqIq0fZQQ,4
IE4TsbWaR6OIn49E0-5tdA,3
x9smdBAjQzqyEZ7lEMWi-w,2
2_wTzvZWQASnAzQP-E1lMg,0
lCw2IKHHSiOl-zBX4X4D_g,2
cIE2XfhFRsWaMM8l4ZC96g,4
KS9o3JHgQCO8OY-z6m1kaw,0
zOLEA5-SQSeSHqqh1F4u6w,0
IvtzHYFhShuCIe0Di_uJVg,8
qVOoZRQhQ0G8JGBvhiZtKA,0
EXWruPcyQgCzjr7QHpqoAQ,0
dJ6IlTlRQJCDfu7LQ4WNJw,0
OJKNaeSQRICzAdiUe7WQmg,4
u6iti96gQg2oU68HuSsk_Q,0
P-smNdCsR9uW_Nya5V_sOA,2
CR5TLNJ1S-eqAKXUD-mEhg,0
yagUi7_wS16GUA3Eu-Fndg,2
o-cQuH8yQ7eBHfHazOx9_A,2
1jxFls4qQuq7N3AQSo-C3g,0
BR7E8SJCRF6AmsB0zA4mbw,0
xdpBRpESQyamvFCfIgY-tA,0
f14nCZljQRyBlPKkfSIfFQ,0
VSGjYd96SH2gilUITV0iBA,0
THLfiYJASMeY8wkHyT5jIQ,2
9EDPrt6bSpa32yMc1TcJug,2
2WxtGOEZSgS_hCZVPJRTAA,0
ZPKu0B9QQJyGcqrhwxdMVg,0
S6mhP0xkS_m_LJrbOvzwYw,0
5deVWXmWTKWcWvRzzZwaEQ,0
lLuJAZjaT_-DywqNoPMmYg,0
Ej-h1qo6SGeBfrnMdgyItQ,0
lRHg0DK1TDaosUK7Nw2NrA,4
KIglXisgRNyvNwx25YoUcQ,2
6xWfw8hSQoeOYeDAQJnS3Q,0
dw77LARhRCeB5tspLzctfQ,2
qfxkL96gT3KUnyfJ1ifWIA,2
-_v7v0SJRAuZAW6MO-7MUQ,0
cKcT0hwVTBeZTbM6lK7P-g,0
dhz27mR7REuLPBlelwEYEQ,0
QJAUauW6Q7awiBBBrlcJfg,4
ys-oq1LKSha0OzEsWnkjzg,2
nNo7s83FTRiIP_u6YuSpZg,8
lAz11TaVQIG2WLicGc5xGQ,2
0wsP_1rqR5q8S6VRA3wZjQ,3
h1dYX9RfRiGXIfZYNnW8YA,2
wGI0E2y3T4eUI41uyMwOWA,4
fLZ_8o94RheMi3NGXSKQhA,0
tbS73Z4QQwy5RxEXCGwvCw,4
lcvUUFiGR9-MNA7XkKhe0Q,8
10C3b0dYRCOBuFjVhhpLKQ,2
7ZW_FDwgTM2CaBNfVGgdRw,4
iz3P-5L5RVGXygo94Wr94g,5
MQr9oW7PTb-ej5bJkOwrbg,0
AEm-w8EsQcuJwt-IMoYr3A,8
XuCy5rcgRPyPSuFlzm6wuQ,0
n7CYi6-RRTq85fCutV8f0g,0
nFgfW_LjSRq0pVGbVNXr-g,3
XI0EOaSBShS24IGtRJGwuQ,4
Vo81YWvfRACd83xy_XkxDw,3
NhistiSOQEWFd4ASA90dwg,0
eNX2Lni2RZ2JRYtkYvIeaw,2
qUUoptEGRsm-adwh5v-ztw,3
WuJ7iRK4R_STGhdMyyt9DA,0
5-Xw65neSEa9vmZO8UDVnA,4
dptedU1tTEum0OFEvqc_rA,0
7cqIvJ8yTl6jk9wmnC6JJg,4
_MalqnrQQq6g_d_gTc8vuw,0
ivWnHDzJSyW1VkDm8F2hag,7
If3YfGH0TMyvR9gtiX9S9w,4
F4lNBYzSQ7qtcTUSASp6LA,4
jV_41vnlQp-_pNDSU4A2jQ,0
wYA9eE9cQcCjNC4w4Bzemg,2
NlF84JAYTQeyRYY5Fi2_nw,8
2LFz0NZ0TMaAm_yprCk4Xg,0
RhPRN4n8RwO-HDI9G2qhAQ,8
YnfHeIRQS_GD9K63iz3eug,3
q1C8sO8DS4q8Ypt3-ZVP6A,2
UK8ETBFTSDOlVHJpLIQYug,8
zYNIAWN8Qdq1AbFtd3eEDA,4
cFIddI1yQKyipFpAeqEC1A,8
_wCXCIh9QoSpjKYl6tbCmw,0
bd4YAsCFT0-08RsW7U-OHA,2
pZmfziVxQQKqf0T9T7gz3w,2
LNGGtxOXQh-bSo1W_eVfFA,0
yTQeykifRo-IjfH_HZC2Tg,7
AWlAUKp0TEi5B9v5djptvg,2
7lWPNzJlQpOIOb-VXf8H7A,0
B7o-tPOtTZm-chg9Vzur4w,2
Zk-OfVhxSIu7IeKQRVOxQw,5
ZROOvcwjQxOMPOfc-qF9Nw,8
fpLPFrtVT_-CvFlCoz9kEw,2
_qXZNVJlSjS4jknLnB7vyw,2
L7cI16owRuOaESgPiGrMJQ,0
LmNfWAwaQomxS96JnUx71Q,0
FPYP4cL3RuqUU9r0sOQJBw,4
78wJu6NmSPqXxvIwQjKCQw,2
2D9bV4OXRMiQZ5jMQkVgeA,0
SO7ZjyeBQCGFaB7mSTZSew,8
2CGQ9bIkTia_2DK63F7eag,2
2N6lRtv1TdqH9aCXiKI8fA,0
ccib8WQbSni3SnC-SV_n_g,0
-WHAmNiRQwWlFfArpD26eA,8
WszukWm6QiG8sfpJqf7Hag,2
YwUBqydWQtGUXRh79jDDKg,4
kgaUr2_7RDSiIXFlJLII3A,0
yVzvdSPdTYWL3fE8n53Jfg,0
U50XitBLRqKYXt9vEjEiww,0
P-UMuS9QRCeyHA4rBF2p9Q,0
537ZruaOS0KlxI_60Q0QnA,0
ViSBocVjRVW9i8ONbo0Tag,2
qBhkJKDZRPqkoh9oHvqXIw,0
w-4z_CviSkStwyLUqzar7w,3
UNW_k_2vQjG4GlCU_INg3A,4
-fr2NY09Qc2n4firUGfxaw,2
ExtGTUOTThGL2sHaSXEjuQ,0
5eQCbtgiTKOxH-DWGpyLRw,8
RXFWhTjdSz679TJLEMNCaQ,3
5eBZooiMRwmDL0Yp6uSM8Q,0
dV8gCVAwSaeZzxfErzQIWw,0
i7F-APhjQhmXKTzELvrcqA,0
leEUhIBWTqW0rDSOI5kOqA,0
BG6dafmMRUWXGp-FLeIKBg,0
FjDn3p4vSaeJp6KAZAxNnA,0
85noHMb4SqCFULc9GzOAtA,2
-4zjTfICRjWEYGMubckIFQ,0
3KsR3nlhRXu7X22hvdblMA,0
x8Lorx2tQOG06v9qwDgb-w,8
Jyl62rsiT02gie32uExS2g,2
epv3GYrmQ2KYvApR1N0-yg,0
r68tevRuTY-5SHrVBs_pgA,2
zW3T-pgGTjSaYvh4LAt7eA,0
zM2pRl0uT8SypUdyo_CueA,0
CWNkuTPmT_mDUW1EnGNtsg,8
3HNaNqsiQmaYEyWEXLoYMQ,4
QgJo7ntKRPuo4blAeQS7bQ,2
0bFGnYvdTFGuxznp03ANCw,0
FQYuJYNXRR-3oq6VKwHhGg,2
Kmg4D4siS4aMJYEzIVoCkA,3
N1LbXCj_Qfy4DejcCBh1jw,0
ifr5gRd_RkWiI-HjhtEnKQ,2
0gNcFrtjR9KDHSAP9mFP8A,4
PwlweYIMTOqFMNPDaKxyXw,0
juEscMixQ2uELpDIwHJgMg,2
QccWZIZJRlW_-xINmO29sA,2
lP-hgYYoRwWqoafBo9c92g,8
Jh9ICpMpRaeMv8l7Zehmqw,0
W7MbmJ-cT5qLKBsIn9MoLg,4
4UHi4WVtQG2MEF4kYy_z4Q,8
_vCB3Q4RRZiMB8itIii_tA,2
-sPV6v3RSOy6hH4gIx6d-w,7
KCF5X7wOTy6V9d8Alauk_w,4
-lisX2AgTKKlVVDRTd-39Q,0
Tcmco5SNSnOEQCjiN6_VIg,0
HjBOAg5JTpyyj-duFP1MQQ,2
WyuDTu4gRk-PTcBZKZQjgw,4
QlEaY3_STgmjPhbNxaahLw,3
yESsqqQST_SV6x5rMa7CzA,2
QzegE0AYTPqySDkXmpk8_Q,3
o6xb5QSHQTSXGpHD_8G7Ag,0
BzW1tteHTryqGJdw2kD4jw,2
j_kNv3vBQp2w_1iyMn87xw,8
vQpD7v79QU-hbdQeDLE3UQ,4
rXYvOm4tSZONUsUZxIZyVQ,0
lWqseoXuRL2-Om6SZe-bTA,2
RPrZ2gUPQ0unxAn6kgcrIw,0
T4Ulgy5dQfmSAEUDHZ9bMA,4
NGyv_L1sTA2a76ZKmJ8C5w,3
rx8c6TBxTfaNaeUr-79DlA,4
yfHPg_okRW2WwecI9eaxBg,0
-LHsplJ_SC-bo6lnhk5jOw,2
Hml1hB_hTY6UUx09TvACew,2
BbD80id-S5KrXnM1N0O8GA,2
Z1EXhcJySMKiiu5MsGby9w,2
nWaNvPgOTe26oaOBAOUJfw,0
MNiIyichSBW7FrJ2X95EYA,1
sGyGBy1nQD6hmsj70aLs_g,0
SGf093DzQvO86m6N3NH3QQ,0
p4ugRbWPQGCGLQuH2eCQfw,3
bwBtAs2_Ta6Z151zrVmq6Q,8
2X5mcqz9T2mvAVndv51YQA,0
QMoKP4ssRS2bLGRk_dqKtQ,3
CXqFItK1SUarIW3uKw3lyw,0
2TdFJZFiRB6oSfjHt6aAGQ,0
39u13JOLQZqXpR8lulsFxQ,0
x0AVn_sHSWeBiYxXN4tn7w,8
Sat_ULBgR6KKrxv_jOcWrQ,0
LE0PUIBBT4mPEptOCz6B5Q,0
pjWsTwB7Tn2ryQvgKraxiw,0
5j5bV-0yQG63Ew6LDB2XNQ,8
dB2-BIicT8uRGsvYtdvxSw,4
XwmgkcCPTLSyJszyJir60Q,2
Sr51VEZsSbe0M2sIzM0zJA,0
dt6DeacHTouhnEMWGMGiFA,3
GxesFn5hQ5iMvcrVOoOetg,4
stNc9Xs1T_eqDZIOdI3dxQ,2
zjdAGe0rRnCNpchXsDexqA,2
ir1FsVDuTTm52EhMQvzViw,8
NLVQ63l4Tva4vx39mbSe2Q,0
y7RkGA-0RHOKTLcZg_SLGQ,0
CdaN9M-SQCmxKdvK8sISUw,0
XEtJAdliRpuZZR9sBHYa5Q,2
uQGhUYluRxuQwLRWWjCXsQ,2
8oBDfuBLTZqwP7OEvxG_IQ,4
gMioZ4RFRDO8dgRs_jH39w,2
7eSi9gOqR8SDBPghUPI6VA,0
DjswWG7AQyej_RseYnkwtQ,2
_iqDAl6PQIOImbllrcEKhw,0
nF5PGLSlSFeVRxpammah1Q,4
-qGY2H0NRaWGlbCHulzWVA,0
r4lUnbRQRxyjZGYFHIlmzg,2
W6F9T8R-QXiwdHICbROC5A,0
tu9WIVsoSkyUnOswFOGIsA,0
G-iirCePQ8-qVKmGer5yGw,8
KJuIZAXzSvGTBpG1yTePQA,8
18nZjFKYQOuYgb6w9cEuXg,0
miQoTLkSSnGekYDCB-metA,8
Xtc59ZWmTpCed-yLfHiUIA,2
rGA-XoMrR3WrMh1NFwo6rA,0
-hjWmH3cRjW4k_jEWDw5zg,0
ofuxsfyJR_eoUVzp_hc0yw,3
vuvgM-ocRNyOO7XQC-W1eg,8
YE_UMUAgRpuITF1mVhI0NA,0
lIemeKAbRoSNm2YwHE2c1g,0
CdRN3rluQaGJ0LRg1q9m_w,4
sc930dpIQyaJoxn8d9Yv_w,4
pniKRxJMRSCInj1C5fxeWA,3
14HuFB87RYCrxQBju1hkmQ,3
LOzOXkptTQmaZCQaLSh9Zw,0
-hwosrJQTvOfdGcFYbFHJA,3
TjuZs87-SAWUocKXN7Vv_A,0
ix-ENA9kTDypBjZDuVYmtg,0
dmx1HVCQSfWzEhI7f6P2Sw,0
K23N46sMRzmFOmOy6AIf6Q,0
gTt8dEjJQDuYRp0vVSeP0A,0
hGo_8FfkRUaKjapAs4pdJg,3
UBMMTReqRyGMBvVSxkYngg,8
fAaJSrbSSg6WfZ2clXizNg,8
N7-k9cL9T36Fk4T7-OTSsQ,0
To5GeloYSKGc8hDgAOskwA,0
KOkQEWKRTfmzlvNLh3IVDw,0
Sd2yz5SsR7mB0Ija_Z8TXA,4
hyH3uYbfQI6hWy-9RArVNA,0
IU3cUVE1STa6vdKcA0ZhQg,7
lDwMlyq0TsSOknB_6IlDCQ,3
B9ezGvWPQ9uJSrVfmWYR-w,0
-lnd2KIpS2C6VAw69IeRRA,3
kbuhpjQZT9i2eFeihCTMjQ,0
qm6Jh6H1Sh25GhrK2M3RQg,3
y07tQwvjRtmgBWXiei7UBg,0
URdtO3scT4u1oyHmpALjwg,3
__J8LQkBSpCVQwtXpGKrhg,0
oKy03M8mRWin2QQuv82Jag,0
BrEuFye2RxCgNKe8G5_59w,2
aOkTD6FuRoKl5qtzrIFscw,0
kKw6IEFuSUuCiy-T_Nz4rQ,3
iGW2WkAxSIC7V4AAjqCh9g,3
iwr-f2qwTbG0ek8WlIaoXA,2
XSmT6-8VQT-3EPZN0QRzoQ,1
gfNjc_74RzWWj3D82EstlA,4
Ia95O7JaTua3szxY2Avvrw,8
vfibuTcCSY-b0bS9EOZDVg,2
N4avBuN6R3at1h2HIF4oDA,4
ScOvq0WFQC2KGm8t4tJBeQ,4
V6mLtu_ORrm2eKONDtviDg,7
wc04vmHHRGaMaLsSchoRcA,0
3YUfLVkCQiyD6XiHu_33iw,2
SBexrbd9RLit-FaYnphikg,8
tsy9IGL1SyieHfZG5GU9uA,8
ggli0ycTRdKoZXyFIQsb4w,2
d0MBmOHESyK9PrchBCpkHA,0
52rZWiznR8mYIhMw2pFajA,2
azcoQ6vaRp6gbyROn1JYDg,0
Zx0-aTEfROC1faYuMmbQPQ,0
DWkjT4InQneVgYpl_LuHlg,4
NKDcZnhXSMC3-_-KV2EBYw,2
DnJKo70fT8SDiCmqeCuOxg,8
kDzh1tDTRMil-vcVvdcVOg,0
YVtScxpLQCO_JpUcw4cHSg,8
rIEBHzl1TfOIavWqR0ml1g,2
hN9eNvyISNWYUZHTjwKzkg,2
fJBZjEOaQ8m6paCkrLz2jg,0
4Dedgk1YSomLrqx1qbu2Fw,2
kIxd0as9QrGcJvX0Adb4wQ,0
xZZWdrNqReqvUbVeI14AHA,3
NtS4wBqlS3Cz76MRi9Mx8w,2
